name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-01-01,26,18,21.4,26,18,21.4,18.1,82.8,3.006,100,4.17,rain,0,0,43.6,22.2,84.4,1019.3,66.4,5.5,166.9,14.4,7,,2022-01-01T06:41:52,2022-01-01T18:04:28,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-02,26.9,17.9,21.7,26.9,17.9,21.7,16.4,75.2,0,0,0,,0,0,37.4,22.1,93.6,1018.3,46.4,6.5,192.7,16.6,7,,2022-01-02T06:42:14,2022-01-02T18:05:01,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-03,26.6,16,21.1,26.6,16,21.1,15.7,74.5,0,0,0,,0,0,29.9,14.6,93.7,1017.9,39.5,5.7,230.9,19.9,9,,2022-01-03T06:42:36,2022-01-03T18:05:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-04,26.9,17,20.8,26.7,17,20.8,15,73.1,0,0,0,,0,0,29.2,14.6,81.1,1017.8,38.1,5.2,243.5,21.2,9,,2022-01-04T06:42:57,2022-01-04T18:06:09,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-05,27.3,16,20.8,26.9,16,20.8,14.8,71.5,0,0,0,,0,0,21.6,11.2,91.7,1017.8,39.6,4.7,245.9,21.4,9,,2022-01-05T06:43:17,2022-01-05T18:06:43,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-06,27,17,21.5,27.1,17,21.5,16.4,75.5,0,0,0,,0,0,22,14.8,98.2,1016.8,38.1,5.6,239.4,20.8,9,,2022-01-06T06:43:37,2022-01-06T18:07:17,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-07,27.9,18,21.6,27.6,18,21.6,16.2,75,0,0,0,,0,0,27.4,18,113.4,1017,53.9,5.2,221.5,19.1,8,,2022-01-07T06:43:55,2022-01-07T18:07:51,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-08,26.3,18,21.7,26.3,18,21.7,17,76.7,0,0,0,,0,0,26.6,14.8,118.9,1017.5,51.3,5.2,182.5,16,8,,2022-01-08T06:44:12,2022-01-08T18:08:25,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-09,27.1,17.9,22.1,27.5,17.9,22.1,16.8,75.1,0,0,0,,0,0,26.3,14.7,119.9,1016.1,59.5,5.2,200.6,17.2,8,,2022-01-09T06:44:29,2022-01-09T18:08:59,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-01-10,27,17,21.7,27.5,17,21.7,16.1,73.5,0,0,0,,0,0,35.6,12.1,122.4,1016.3,42.5,5.2,217.4,18.6,8,10,2022-01-10T06:44:44,2022-01-10T18:09:33,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
