name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chennai,2022-02-01,31,22.4,26.2,36.5,22.4,27.8,22.2,80,0,0,0,,0,0,18,17.5,20.5,1010.4,26,5.1,252.6,21.6,9,10,2022-02-01T06:35:19,2022-02-01T18:09:43,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-02,30,21.3,25.8,35.6,21.3,27,21.4,78.3,0,0,0,,0,0,13.7,17.5,10.4,1011.2,21.9,5.2,258.6,22.4,9,10,2022-02-02T06:35:10,2022-02-02T18:10:08,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-03,31,20.9,25.8,34.6,20.9,27.2,21.3,77.4,0,0,0,,0,0,20.5,18.9,292.2,1011,28.3,5.9,253,21.7,9,10,2022-02-03T06:34:59,2022-02-03T18:10:33,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-04,33,22.8,27.3,40.6,22.8,29.8,23,77.7,0,0,0,,0,0,24.8,21.1,298.3,1009.3,25.4,5.7,249.9,21.4,9,10,2022-02-04T06:34:48,2022-02-04T18:10:57,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-05,31,24.2,27.7,37.7,24.2,30.9,24,80.9,0,0,0,rain,0,0,23.8,22.8,32.4,1010.1,46.1,5.7,210.1,18,7,10,2022-02-05T06:34:35,2022-02-05T18:11:20,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-06,30.3,24,27.2,34.1,24,29.3,23,78.3,0,0,0,,0,0,20.9,21.1,60.7,1012.5,46.6,5.8,229.3,19.8,8,10,2022-02-06T06:34:21,2022-02-06T18:11:43,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-07,32,23,26.8,35.8,23,28.2,22.2,77,0,0,0,,0,0,20.2,19.6,45.7,1013,34.1,5.6,253.6,22,9,10,2022-02-07T06:34:07,2022-02-07T18:12:05,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-08,32,22.4,26.8,34.9,22.4,27.7,20.8,71.8,0,0,0,,0,0,20.5,21.7,13.5,1011.9,28,6,254.8,21.9,9,10,2022-02-08T06:33:51,2022-02-08T18:12:26,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-09,30,23.5,26.5,33.3,23.5,27.5,21.2,73.4,0,0,0,,0,0,21.2,21.4,27.1,1011.9,59.9,5.9,246.4,21.1,10,10,2022-02-09T06:33:34,2022-02-09T18:12:47,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-10,31,22.4,26.8,34.6,22.4,28,21.2,72.4,0,0,0,,0,0,23.4,21.2,7.2,1011.1,39.9,5.5,257.1,22.1,9,10,2022-02-10T06:33:17,2022-02-10T18:13:07,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-11,31,23.4,27,36.5,23.4,29,22.2,75.7,0,0,0,rain,0,0,25.6,23.9,15.7,1010.9,44.9,5.8,248.5,21.3,9,10,2022-02-11T06:32:58,2022-02-11T18:13:27,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-12,31,23,27.1,36.5,23,28.9,22.2,75.4,0,0,0,,0,0,26.6,25.3,11.6,1010.6,45.6,5.8,257.4,22.3,9,10,2022-02-12T06:32:39,2022-02-12T18:13:46,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-13,30.5,23.1,26.6,34.1,23.1,28,22,76.5,0,0,0,,0,0,24.5,20.6,54.2,1010,37.5,5.7,256.1,21.9,10,10,2022-02-13T06:32:18,2022-02-13T18:14:04,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-14,29.1,23.8,26.6,32.7,23.8,27.9,22.2,77.3,0,0,0,rain,0,0,26.3,23.6,45.1,1009.7,57.5,5.5,210.9,18.2,8,10,2022-02-14T06:31:57,2022-02-14T18:14:22,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-15,30,23,26.4,32.6,23,27.2,20.7,71.5,0,0,0,,0,0,23.8,26.3,42.3,1004.9,36.1,5.8,258.7,22.2,9,10,2022-02-15T06:31:34,2022-02-15T18:14:39,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-16,30,22.8,26.2,33.3,22.8,27.2,21,73.7,0,0,0,,0,0,21.6,17.8,4.3,1001.2,31,6,248.9,21.3,9,10,2022-02-16T06:31:11,2022-02-16T18:14:56,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-17,31,22.8,26.5,34.6,22.8,27.7,21.3,74.1,0,0,0,,0,0,21.6,17.6,14.7,1007.5,39.6,5.9,254.9,21.8,10,10,2022-02-17T06:30:47,2022-02-17T18:15:12,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-18,31,24,27,35.5,24,28.5,21.8,74.1,0,0,0,,0,0,25.9,19,54.5,1009,48.9,6,249.2,21.3,9,10,2022-02-18T06:30:22,2022-02-18T18:15:28,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-19,31,23.9,27.2,35.5,23.9,28.9,22.4,75.6,0,0,0,,0,0,19.8,17.9,36.4,1011.1,41.2,5.3,242.4,20.9,9,10,2022-02-19T06:29:56,2022-02-19T18:15:43,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-20,33,23.2,27.6,37,23.2,29.6,22.6,76.1,0,0,0,,0,0,23.4,15.7,349,1010.3,22.6,4.9,270,23.2,10,10,2022-02-20T06:29:30,2022-02-20T18:15:57,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-21,34,23.7,28.1,43.5,23.7,31.5,24,79.6,0,0,0,,0,0,27.4,19.3,276.7,1008.9,20.8,5.7,272.1,23.3,10,10,2022-02-21T06:29:03,2022-02-21T18:16:11,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-22,33,24.3,28.3,40.6,24.3,31.7,24.5,81,0,0,0,,0,0,20.2,14.4,9.1,1010.9,31.9,5.8,267.6,23.1,10,10,2022-02-22T06:28:35,2022-02-22T18:16:24,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-23,32,24.7,28,39.2,24.7,30.7,23.2,75.8,0,0,0,rain,0,0,20.5,19.2,24.1,1013.4,36.4,5.9,272.7,23.3,10,10,2022-02-23T06:28:06,2022-02-23T18:16:37,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-24,32,23.9,27.3,35.8,23.9,28.8,22.4,75.9,0,0,0,,0,0,17.6,15.4,39.7,1014.3,37.6,6.2,274.5,24,10,10,2022-02-24T06:27:36,2022-02-24T18:16:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-25,31.1,23,26.7,34.7,23,27.9,21.5,74,0,0,0,,0,0,18.4,15.4,40.8,1008.1,31.4,6.2,279.6,24.3,10,10,2022-02-25T06:27:06,2022-02-25T18:17:01,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-26,31,23,27,36.5,23,29,22.3,76.1,0,0,0,rain,0,0,20.2,18.9,67.7,1013.4,45.7,6.1,216.7,18.7,7,10,2022-02-26T06:26:35,2022-02-26T18:17:12,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-27,32,23.9,27.8,37.9,23.9,29.8,22.3,73.3,0,0,0,rain,0,0,24.5,18.9,77.3,1013.2,37,5.3,268.7,23.3,10,10,2022-02-27T06:26:04,2022-02-27T18:17:23,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-02-28,32,23.8,27.5,39.2,23.8,29.8,22.8,76,0,0,0,,0,0,23,20.7,22.8,1012.9,25.2,6,278.8,24.2,10,10,2022-02-28T06:25:31,2022-02-28T18:17:34,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-03-01,35,23.9,28,36.8,23.9,28.9,20.9,70.5,0,0,0,,0,0,24.5,20.7,27,1012.6,22.8,6.8,283.6,24.4,10,10,2022-03-01T06:24:59,2022-03-01T18:17:44,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-03-02,33,22.5,27.4,38.1,22.5,29.4,22.4,75.8,0,0,0,,0,0,26.3,18.4,29.4,1011.9,51.8,5.3,262.8,22.7,10,10,2022-03-02T06:24:25,2022-03-02T18:17:53,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-03-03,32.1,24,27.7,37.9,24,30.4,23.6,79.3,0,0,0,,0,0,37.1,24.9,7.2,1011.3,56.2,4.9,182.6,15.8,8,10,2022-03-03T06:23:51,2022-03-03T18:18:02,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-03-04,32,24.9,28.2,37.9,24.9,30.7,22.9,74.3,0,0,0,rain,0,0,40.7,24.8,28.8,1010.9,61.9,5,233.3,20,9,10,2022-03-04T06:23:17,2022-03-04T18:18:11,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-03-05,32,25.4,28.2,36.8,25.4,30.5,22.5,71.8,0,0,0,rain,0,0,37.1,23.7,3.7,1010.5,53.1,5.5,230,19.8,8,10,2022-03-05T06:22:42,2022-03-05T18:18:19,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
chennai,2022-03-06,31,25,28,35.5,25,29.7,20.8,65.7,0.2,100,4.17,rain,0,0,46.4,25.8,35.7,1006.9,72.2,5.7,113.9,9.8,6,10,2022-03-06T06:22:06,2022-03-06T18:18:27,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"23099_maritime,VOMM,43279099999,AUCE,43278099999"
